iter	Passed	Remaining
0	9	9078
1	10	5455
2	12	4092
3	14	3531
4	16	3185
5	16	2708
6	17	2438
7	17	2202
8	18	2017
9	18	1847
10	19	1726
11	19	1622
12	20	1557
13	21	1506
14	22	1480
15	23	1451
16	25	1458
17	26	1453
18	28	1451
19	29	1463
20	31	1449
21	31	1396
22	31	1357
23	32	1320
24	32	1285
25	33	1253
26	33	1224
27	34	1197
28	34	1171
29	36	1165
30	36	1139
31	36	1118
32	37	1098
33	42	1208
34	43	1192
35	45	1212
36	46	1222
37	48	1235
38	50	1232
39	51	1247
40	53	1239
41	55	1264
42	56	1246
43	56	1228
44	57	1211
45	57	1194
46	58	1178
47	58	1163
48	59	1149
49	59	1138
50	61	1138
51	62	1136
52	63	1131
53	64	1128
54	65	1123
55	66	1119
56	67	1116
57	68	1111
58	69	1110
59	70	1105
60	71	1101
61	72	1098
62	73	1095
63	74	1093
64	75	1084
65	75	1073
66	76	1066
67	77	1060
68	78	1052
69	78	1042
70	78	1033
71	79	1025
72	80	1017
73	82	1031
74	83	1029
75	84	1028
76	85	1024
77	86	1022
78	87	1020
79	88	1018
80	89	1018
81	90	1008
82	91	1011
83	92	1007
84	93	1007
85	94	1007
86	95	1005
87	97	1006
88	97	1001
89	101	1021
90	102	1022
91	103	1018
92	104	1019
93	106	1028
94	109	1040
95	110	1045
96	113	1052
97	115	1059
98	117	1070
99	119	1077
100	122	1086
101	123	1088
102	125	1090
103	127	1095
104	128	1096
105	129	1093
106	130	1087
107	130	1079
108	131	1073
109	131	1067
110	132	1062
111	133	1056
112	133	1047
113	133	1041
114	134	1036
115	135	1031
116	136	1026
117	136	1019
118	137	1014
119	137	1010
120	148	1080
121	149	1073
122	149	1066
123	156	1102
124	156	1096
125	162	1126
126	163	1124
127	164	1117
128	164	1112
129	165	1107
130	165	1100
131	166	1092
132	166	1086
133	171	1106
134	172	1108
135	173	1102
136	173	1095
137	174	1089
138	174	1083
139	175	1077
140	175	1071
141	176	1065
142	176	1059
143	177	1053
144	177	1047
145	178	1042
146	178	1036
147	179	1030
148	179	1025
149	180	1020
150	180	1014
151	180	1009
152	181	1004
153	181	999
154	182	993
155	182	988
156	183	983
157	183	978
158	183	972
159	184	967
160	184	962
161	185	958
162	185	953
163	186	948
164	186	944
165	187	939
166	187	935
167	188	931
168	188	926
169	188	922
170	189	918
